"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике на вопрос должен открываться соответствующий текст","1575","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
"При клике на вопрос должен открываться соответствующий текст","2673","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
"При клике на логотип Яндекса открывается Дзен в новой вкладке","1430","Переход по логотипу Яндекса","tests","2026-06-30","passed","2026-06-30","TestLogoRedirect","test_logo_redirect","",""
"При клике на логотип Самоката открывается главная страница","1219","Переход по логотипу Самоката","tests","2026-06-30","passed","2026-06-30","TestLogoRedirect","test_logo_redirect","",""
"При клике на вопрос должен открываться соответствующий текст","2647","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
"При клике на вопрос должен открываться соответствующий текст","5419","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
"При клике на вопрос должен открываться соответствующий текст","1677","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
"При клике на вопрос должен открываться соответствующий текст","1802","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
"При клике на вопрос должен открываться соответствующий текст","1716","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
"Проверка полного флоу заказа с двумя наборами данных","7386","Позитивный сценарий заказа самоката","tests","2026-06-30","passed","2026-06-30","TestOrder","test_order","",""
"Проверка полного флоу заказа с двумя наборами данных","6690","Позитивный сценарий заказа самоката","tests","2026-06-30","passed","2026-06-30","TestOrder","test_order","",""
"При клике на вопрос должен открываться соответствующий текст","5043","Проверка открытия текста ответа на вопрос","tests","2026-06-30","passed","2026-06-30","TestFaq","test_faq","",""
